tensor(0.2020, device='cuda:0')
tensor(0.1514, device='cuda:0')
tensor(0.1774, device='cuda:0')
tensor(0.1767, device='cuda:0')
tensor(0.1245, device='cuda:0')
tensor(0.1970, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.3234, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.1444, device='cuda:0')
tensor(0.1766, device='cuda:0')
tensor(0.1736, device='cuda:0')
tensor(0.1324, device='cuda:0')
tensor(0.1194, device='cuda:0')
tensor(0.1732, device='cuda:0')
tensor(0.1325, device='cuda:0')
tensor(0.1281, device='cuda:0')
tensor(0.1298, device='cuda:0')
tensor(0.1541, device='cuda:0')
tensor(0.1318, device='cuda:0')
tensor(0.1587, device='cuda:0')
tensor(0.1146, device='cuda:0')
tensor(0.1550, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.1271, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1350, device='cuda:0')
tensor(0.1265, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.1120, device='cuda:0')
tensor(0.1639, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.1202, device='cuda:0')
tensor(0.1469, device='cuda:0')
tensor(0.1562, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1542, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1620, device='cuda:0')
tensor(0.1674, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.2361, device='cuda:0')
tensor(0.1521, device='cuda:0')
tensor(0.1602, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.1228, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1112, device='cuda:0')
tensor(0.2030, device='cuda:0')
tensor(0.1775, device='cuda:0')
tensor(0.1046, device='cuda:0')
tensor(0.1887, device='cuda:0')
tensor(0.1465, device='cuda:0')
tensor(0.1399, device='cuda:0')
tensor(0.1685, device='cuda:0')
tensor(0.1301, device='cuda:0')
tensor(0.1811, device='cuda:0')
tensor(0.1532, device='cuda:0')
tensor(0.1264, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.1124, device='cuda:0')
tensor(0.1341, device='cuda:0')
tensor(0.1667, device='cuda:0')
tensor(0.1263, device='cuda:0')
tensor(0.1654, device='cuda:0')
tensor(0.1967, device='cuda:0')
tensor(0.1553, device='cuda:0')
tensor(0.1727, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.2322, device='cuda:0')
tensor(0.1644, device='cuda:0')
tensor(0.1827, device='cuda:0')
tensor(0.1798, device='cuda:0')
tensor(0.1372, device='cuda:0')
tensor(0.1833, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.1456, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.2067, device='cuda:0')
tensor(0.1617, device='cuda:0')
tensor(0.1298, device='cuda:0')
tensor(0.1713, device='cuda:0')
tensor(0.1478, device='cuda:0')
tensor(0.2374, device='cuda:0')
tensor(0.1802, device='cuda:0')
tensor(0.1832, device='cuda:0')
tensor(0.1877, device='cuda:0')
tensor(0.2221, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.2231, device='cuda:0')
tensor(0.1427, device='cuda:0')
tensor(0.2157, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1683, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.1856, device='cuda:0')
tensor(0.1912, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1767, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1098, device='cuda:0')
tensor(0.1662, device='cuda:0')
tensor(0.1551, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.1759, device='cuda:0')
tensor(0.1328, device='cuda:0')
tensor(0.1332, device='cuda:0')
tensor(0.1405, device='cuda:0')
tensor(0.1257, device='cuda:0')
tensor(0.1926, device='cuda:0')
tensor(0.1393, device='cuda:0')
tensor(0.1300, device='cuda:0')
tensor(0.2081, device='cuda:0')
tensor(0.1448, device='cuda:0')
tensor(0.2142, device='cuda:0')
tensor(0.1660, device='cuda:0')
tensor(0.1440, device='cuda:0')
tensor(0.2112, device='cuda:0')
tensor(0.1791, device='cuda:0')
tensor(0.1460, device='cuda:0')
tensor(0.1248, device='cuda:0')
tensor(0.1057, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1719, device='cuda:0')
tensor(0.1561, device='cuda:0')
tensor(0.1563, device='cuda:0')
tensor(0.1222, device='cuda:0')
tensor(0.2404, device='cuda:0')
tensor(0.2344, device='cuda:0')
tensor(0.1495, device='cuda:0')
tensor(0.1712, device='cuda:0')
tensor(0.2170, device='cuda:0')
tensor(0.1171, device='cuda:0')
tensor(0.1548, device='cuda:0')
tensor(0.1279, device='cuda:0')
tensor(0.1651, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1139, device='cuda:0')
tensor(0.1264, device='cuda:0')
tensor(0.1193, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1086, device='cuda:0')
tensor(0.1661, device='cuda:0')
tensor(0.1681, device='cuda:0')
tensor(0.1855, device='cuda:0')
tensor(0.1510, device='cuda:0')
tensor(0.1982, device='cuda:0')
tensor(0.1547, device='cuda:0')
tensor(0.1338, device='cuda:0')
tensor(0.1654, device='cuda:0')
tensor(0.1516, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.1377, device='cuda:0')
tensor(0.1194, device='cuda:0')
tensor(0.1677, device='cuda:0')
tensor(0.2042, device='cuda:0')
tensor(0.1817, device='cuda:0')
tensor(0.1727, device='cuda:0')
tensor(0.1269, device='cuda:0')
tensor(0.1624, device='cuda:0')
tensor(0.1147, device='cuda:0')
tensor(0.1641, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.1400, device='cuda:0')
tensor(0.1561, device='cuda:0')
tensor(0.1587, device='cuda:0')
tensor(0.1967, device='cuda:0')
tensor(0.1406, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.1868, device='cuda:0')
tensor(0.1410, device='cuda:0')
tensor(0.1777, device='cuda:0')
tensor(0.1446, device='cuda:0')
tensor(0.1231, device='cuda:0')
tensor(0.1339, device='cuda:0')
tensor(0.1774, device='cuda:0')
tensor(0.1362, device='cuda:0')
tensor(0.1290, device='cuda:0')
tensor(0.1488, device='cuda:0')
tensor(0.2125, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1395, device='cuda:0')
tensor(0.1484, device='cuda:0')
tensor(0.1990, device='cuda:0')
tensor(0.1443, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1612, device='cuda:0')
tensor(0.1330, device='cuda:0')
tensor(0.1483, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.1805, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.1302, device='cuda:0')
tensor(0.2225, device='cuda:0')
tensor(0.1147, device='cuda:0')
tensor(0.1259, device='cuda:0')
tensor(0.1101, device='cuda:0')
tensor(0.1745, device='cuda:0')
tensor(0.1536, device='cuda:0')
tensor(0.1576, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.1133, device='cuda:0')
tensor(0.1622, device='cuda:0')
