tensor(1.1355, device='cuda:0')
tensor(0.1150, device='cuda:0')
tensor(0.1074, device='cuda:0')
tensor(0.2085, device='cuda:0')
tensor(0.1220, device='cuda:0')
tensor(0.1203, device='cuda:0')
tensor(0.1100, device='cuda:0')
tensor(0.1670, device='cuda:0')
tensor(0.1396, device='cuda:0')
tensor(0.1157, device='cuda:0')
tensor(0.1297, device='cuda:0')
tensor(0.1582, device='cuda:0')
tensor(0.1668, device='cuda:0')
tensor(0.1706, device='cuda:0')
tensor(0.1807, device='cuda:0')
tensor(0.1006, device='cuda:0')
tensor(0.1415, device='cuda:0')
tensor(0.1595, device='cuda:0')
tensor(0.1453, device='cuda:0')
tensor(0.1202, device='cuda:0')
tensor(0.1447, device='cuda:0')
tensor(0.1451, device='cuda:0')
tensor(0.1089, device='cuda:0')
tensor(0.1799, device='cuda:0')
tensor(0.1197, device='cuda:0')
tensor(0.0996, device='cuda:0')
tensor(0.1173, device='cuda:0')
tensor(0.0918, device='cuda:0')
tensor(0.1220, device='cuda:0')
tensor(0.1652, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1883, device='cuda:0')
tensor(0.1533, device='cuda:0')
tensor(0.1769, device='cuda:0')
tensor(0.1208, device='cuda:0')
tensor(0.1519, device='cuda:0')
tensor(0.1405, device='cuda:0')
tensor(0.1241, device='cuda:0')
tensor(0.1524, device='cuda:0')
tensor(0.1338, device='cuda:0')
tensor(0.1235, device='cuda:0')
tensor(0.1575, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.1392, device='cuda:0')
tensor(0.1356, device='cuda:0')
tensor(0.1379, device='cuda:0')
tensor(0.1536, device='cuda:0')
tensor(0.1315, device='cuda:0')
tensor(0.1026, device='cuda:0')
tensor(0.1730, device='cuda:0')
tensor(0.1570, device='cuda:0')
tensor(0.1928, device='cuda:0')
tensor(0.1327, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.1681, device='cuda:0')
tensor(0.1292, device='cuda:0')
tensor(0.1445, device='cuda:0')
tensor(0.1381, device='cuda:0')
tensor(0.1256, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.1491, device='cuda:0')
tensor(0.1109, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.1338, device='cuda:0')
tensor(0.1379, device='cuda:0')
tensor(0.1911, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1556, device='cuda:0')
tensor(0.1415, device='cuda:0')
tensor(0.1352, device='cuda:0')
tensor(0.1126, device='cuda:0')
tensor(0.1613, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.2053, device='cuda:0')
tensor(0.1130, device='cuda:0')
tensor(0.1803, device='cuda:0')
tensor(0.1250, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.2035, device='cuda:0')
tensor(0.0901, device='cuda:0')
tensor(0.1639, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1393, device='cuda:0')
tensor(0.2255, device='cuda:0')
tensor(0.1110, device='cuda:0')
tensor(0.1110, device='cuda:0')
tensor(0.1411, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.1543, device='cuda:0')
tensor(0.1382, device='cuda:0')
tensor(0.1571, device='cuda:0')
tensor(0.1960, device='cuda:0')
tensor(0.1281, device='cuda:0')
tensor(0.1648, device='cuda:0')
tensor(0.1269, device='cuda:0')
tensor(0.1259, device='cuda:0')
tensor(0.1292, device='cuda:0')
tensor(0.1783, device='cuda:0')
tensor(0.1373, device='cuda:0')
tensor(0.1941, device='cuda:0')
tensor(0.1342, device='cuda:0')
tensor(0.1026, device='cuda:0')
tensor(0.1146, device='cuda:0')
tensor(0.1207, device='cuda:0')
tensor(0.1299, device='cuda:0')
tensor(0.1248, device='cuda:0')
tensor(0.1469, device='cuda:0')
tensor(0.1155, device='cuda:0')
tensor(0.1668, device='cuda:0')
tensor(0.1706, device='cuda:0')
tensor(0.1294, device='cuda:0')
tensor(0.1792, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1853, device='cuda:0')
tensor(0.1707, device='cuda:0')
tensor(0.1276, device='cuda:0')
tensor(0.1338, device='cuda:0')
tensor(0.1753, device='cuda:0')
tensor(0.1655, device='cuda:0')
tensor(0.1115, device='cuda:0')
tensor(0.2186, device='cuda:0')
tensor(0.1136, device='cuda:0')
tensor(0.1419, device='cuda:0')
tensor(0.1097, device='cuda:0')
tensor(0.1308, device='cuda:0')
tensor(0.1506, device='cuda:0')
tensor(0.1848, device='cuda:0')
tensor(0.1620, device='cuda:0')
tensor(0.1352, device='cuda:0')
tensor(0.1497, device='cuda:0')
tensor(0.1654, device='cuda:0')
tensor(0.1424, device='cuda:0')
tensor(0.1860, device='cuda:0')
tensor(0.1713, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1713, device='cuda:0')
tensor(0.1382, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1200, device='cuda:0')
tensor(0.1239, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.1153, device='cuda:0')
tensor(0.1297, device='cuda:0')
tensor(0.1091, device='cuda:0')
tensor(0.1402, device='cuda:0')
tensor(0.1198, device='cuda:0')
tensor(0.1223, device='cuda:0')
tensor(0.1968, device='cuda:0')
tensor(0.1526, device='cuda:0')
tensor(0.1004, device='cuda:0')
tensor(0.1309, device='cuda:0')
tensor(0.1716, device='cuda:0')
tensor(0.1727, device='cuda:0')
tensor(0.1586, device='cuda:0')
tensor(0.1274, device='cuda:0')
tensor(0.1639, device='cuda:0')
tensor(0.1358, device='cuda:0')
tensor(0.1220, device='cuda:0')
tensor(0.1240, device='cuda:0')
tensor(0.1228, device='cuda:0')
tensor(0.1423, device='cuda:0')
tensor(0.1479, device='cuda:0')
tensor(0.1114, device='cuda:0')
tensor(0.1655, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1168, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.0992, device='cuda:0')
tensor(0.1211, device='cuda:0')
tensor(0.1222, device='cuda:0')
tensor(0.0997, device='cuda:0')
tensor(0.1459, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.1119, device='cuda:0')
tensor(0.1047, device='cuda:0')
tensor(0.1691, device='cuda:0')
tensor(0.1719, device='cuda:0')
tensor(0.1358, device='cuda:0')
tensor(0.1190, device='cuda:0')
tensor(0.1117, device='cuda:0')
tensor(0.1180, device='cuda:0')
tensor(0.1295, device='cuda:0')
tensor(0.1729, device='cuda:0')
tensor(0.1088, device='cuda:0')
tensor(0.2247, device='cuda:0')
tensor(0.1312, device='cuda:0')
tensor(0.1305, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1119, device='cuda:0')
tensor(0.1169, device='cuda:0')
tensor(0.1185, device='cuda:0')
tensor(0.1332, device='cuda:0')
tensor(0.1123, device='cuda:0')
tensor(0.1813, device='cuda:0')
tensor(0.1056, device='cuda:0')
tensor(0.1410, device='cuda:0')
tensor(0.1246, device='cuda:0')
tensor(0.1322, device='cuda:0')
tensor(0.1280, device='cuda:0')
tensor(0.1024, device='cuda:0')
tensor(0.1584, device='cuda:0')
tensor(0.1162, device='cuda:0')
tensor(0.1629, device='cuda:0')
tensor(0.1235, device='cuda:0')
tensor(0.1105, device='cuda:0')
tensor(0.2007, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.1571, device='cuda:0')
tensor(0.1762, device='cuda:0')
tensor(0.1136, device='cuda:0')
tensor(0.1600, device='cuda:0')
tensor(0.1034, device='cuda:0')
tensor(0.1673, device='cuda:0')
tensor(0.1052, device='cuda:0')
tensor(0.1545, device='cuda:0')
tensor(0.1037, device='cuda:0')
tensor(0.1339, device='cuda:0')
tensor(0.0979, device='cuda:0')
tensor(0.1449, device='cuda:0')
tensor(0.1125, device='cuda:0')
tensor(0.1225, device='cuda:0')
tensor(0.1512, device='cuda:0')
